id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,price_doc
1,2011-08-20,43,27.0,4.0,,,,,,,Investment,Bibirevo,5850000
2,2011-08-23,34,19.0,3.0,,,,,,,Investment,Nagatinskij Zaton,6000000
3,2011-08-27,43,29.0,2.0,,,,,,,Investment,Tekstil'shhiki,5700000
4,2011-09-01,89,50.0,9.0,,,,,,,Investment,Mitino,13100000
5,2011-09-05,77,77.0,4.0,,,,,,,Investment,Basmannoe,16331452
6,2011-09-06,67,46.0,14.0,,,,,,,Investment,Nizhegorodskoe,9100000
7,2011-09-08,25,14.0,10.0,,,,,,,Investment,Sokol'niki,5500000
8,2011-09-09,44,44.0,5.0,,,,,,,Investment,Bibirevo,2000000
9,2011-09-10,42,27.0,5.0,,,,,,,Investment,Koptevo,5300000
10,2011-09-13,36,21.0,9.0,,,,,,,Investment,Kuncevo,2000000
11,2011-09-16,36,19.0,12.0,,,,,,,Investment,Kosino-Uhtomskoe,4650000
12,2011-09-16,38,19.0,11.0,,,,,,,Investment,Zapadnoe Degunino,4800000
13,2011-09-17,43,28.0,4.0,,,,,,,Investment,Kuncevo,5100000
14,2011-09-19,31,31.0,4.0,,,,,,,Investment,Presnenskoe,5200000
15,2011-09-19,31,21.0,3.0,,,,,,,Investment,Lefortovo,5000000
16,2011-09-20,51,31.0,15.0,,,,,,,Investment,Mar'ino,1850000
17,2011-09-20,47,31.0,4.0,,,,,,,Investment,Kuz'minki,6300000
18,2011-09-20,42,28.0,2.0,,,,,,,Investment,Nagornoe,5900000
19,2011-09-22,59,33.0,10.0,,,,,,,Investment,Kosino-Uhtomskoe,7900000
20,2011-09-22,44,29.0,4.0,,,,,,,Investment,Gol'janovo,5200000
21,2011-09-22,74,44.0,10.0,,,,,,,Investment,Vnukovo,8200000
22,2011-09-22,39,39.0,7.0,,,,,,,Investment,Juzhnoe Tushino,5200000
23,2011-09-23,48,34.0,6.0,,,,,,,Investment,Severnoe Tushino,6250000
24,2011-09-23,32,18.0,3.0,,,,,,,Investment,Chertanovo Central'noe,5750000
25,2011-09-23,34,19.0,11.0,,,,,,,Investment,Juzhnoe Tushino,6000000
26,2011-09-24,45,29.0,9.0,,,,,,,Investment,Fili Davydkovo,1050000
27,2011-09-26,35,20.0,4.0,,,,,,,Investment,Otradnoe,5000000
28,2011-09-26,38,20.0,6.0,,,,,,,Investment,Novo-Peredelkino,4700000
29,2011-09-26,73,38.0,15.0,,,,,,,OwnerOccupier,Bogorodskoe,8254400
30,2011-09-27,42,27.0,3.0,,,,,,,Investment,Jaroslavskoe,5900000
31,2011-09-27,40,20.0,12.0,,,,,,,Investment,Strogino,6200000
32,2011-09-27,81,46.0,24.0,,,,,,,Investment,Hovrino,18300000
33,2011-09-28,38,34.0,2.0,,,,,,,Investment,Bibirevo,4900000
34,2011-09-28,31,18.0,4.0,,,,,,,Investment,Moskvorech'e-Saburovo,4400000
35,2011-09-28,39,19.0,1.0,,,,,,,Investment,Staroe Krjukovo,3900000
36,2011-09-28,39,20.0,1.0,,,,,,,Investment,Mar'ino,4850000
37,2011-09-29,37,19.0,9.0,,,,,,,Investment,Ljublino,5700000
38,2011-09-30,27,27.0,4.0,,,,,,,Investment,Caricyno,4300000
39,2011-09-30,33,18.0,2.0,,,,,,,Investment,Veshnjaki,4500000
40,2011-09-30,33,18.0,9.0,,,,,,,Investment,Veshnjaki,2000000
41,2011-09-30,45,30.0,5.0,,,,,,,Investment,Danilovskoe,6200000
42,2011-09-30,54,30.0,10.0,,,,,,,Investment,Caricyno,7500000
43,2011-10-01,40,25.0,3.0,,,,,,,Investment,Preobrazhenskoe,5900000
44,2011-10-01,59,42.0,8.0,,,,,,,Investment,Kon'kovo,9550000
